,L10
853354800000,0.0
853358400000,0.0
853362000000,0.0
853365600000,0.029
853369200000,0.229
853372800000,0.434
853376400000,0.575
853380000000,0.671
853383600000,0.713
853387200000,0.715
853390800000,0.658
853394400000,0.548
853398000000,0.361
853401600000,0.148
853405200000,0.0
853408800000,0.0
853412400000,0.0
853416000000,0.0
853419600000,0.0
853423200000,0.0
853426800000,0.0
853430400000,0.0
853434000000,0.0
853437600000,0.0
853441200000,0.0
853444800000,0.0
853448400000,0.0
853452000000,0.018
853455600000,0.175
853459200000,0.36
853462800000,0.542
853466400000,0.644
853470000000,0.691
853473600000,0.693
853477200000,0.642
853480800000,0.537
853484400000,0.378
853488000000,0.171
853491600000,0.0
853495200000,0.0
853498800000,0.0
853502400000,0.0
853506000000,0.0
853509600000,0.0
853513200000,0.0
853516800000,0.0
853520400000,0.0
853524000000,0.0
853527600000,0.0
853531200000,0.0
853534800000,0.0
853538400000,0.028
853542000000,0.217
853545600000,0.403
853549200000,0.57
853552800000,0.654
853556400000,0.692
853560000000,0.67
853563600000,0.593
853567200000,0.448
853570800000,0.259
853574400000,0.09
853578000000,0.0
853581600000,0.0
853585200000,0.0
853588800000,0.0
853592400000,0.0
853596000000,0.0
853599600000,0.0
853603200000,0.0
853606800000,0.0
853610400000,0.0
853614000000,0.0
853617600000,0.0
853621200000,0.0
853624800000,0.006
853628400000,0.099
853632000000,0.225
853635600000,0.354
853639200000,0.476
853642800000,0.546
853646400000,0.554
853650000000,0.485
853653600000,0.375
853657200000,0.244
853660800000,0.097
853664400000,0.0
853668000000,0.0
853671600000,0.0
853675200000,0.0
853678800000,0.0
853682400000,0.0
853686000000,0.0
853689600000,0.0
853693200000,0.0
853696800000,0.0
853700400000,0.0
853704000000,0.0
853707600000,0.0
853711200000,0.023
853714800000,0.215
853718400000,0.43
853722000000,0.577
853725600000,0.668
853729200000,0.706
853732800000,0.687
853736400000,0.627
853740000000,0.526
853743600000,0.367
853747200000,0.159
853750800000,0.0
853754400000,0.0
853758000000,0.0
853761600000,0.0
853765200000,0.0
853768800000,0.0
853772400000,0.0
853776000000,0.0
853779600000,0.0
853783200000,0.0
853786800000,0.0
853790400000,0.0
853794000000,0.0
853797600000,0.031
853801200000,0.225
853804800000,0.408
853808400000,0.566
853812000000,0.657
853815600000,0.695
853819200000,0.691
853822800000,0.651
853826400000,0.539
853830000000,0.371
853833600000,0.156
853837200000,0.0
853840800000,0.0
853844400000,0.0
853848000000,0.0
853851600000,0.0
853855200000,0.0
853858800000,0.0
853862400000,0.0
853866000000,0.0
853869600000,0.0
853873200000,0.0
853876800000,0.0
853880400000,0.0
853884000000,0.026
853887600000,0.185
853891200000,0.343
853894800000,0.556
853898400000,0.65
853902000000,0.703
853905600000,0.708
853909200000,0.654
853912800000,0.537
853916400000,0.37
853920000000,0.153
853923600000,0.0
853927200000,0.0
853930800000,0.0
853934400000,0.0
853938000000,0.0
853941600000,0.0
853945200000,0.0
853948800000,0.0
853952400000,0.0
853956000000,0.0
853959600000,0.0
853963200000,0.0
853966800000,0.0
853970400000,0.033
853974000000,0.239
853977600000,0.428
853981200000,0.564
853984800000,0.657
853988400000,0.673
853992000000,0.66
853995600000,0.593
853999200000,0.489
854002800000,0.336
854006400000,0.109
854010000000,0.0
854013600000,0.0
854017200000,0.0
854020800000,0.0
854024400000,0.0
854028000000,0.0
854031600000,0.0
854035200000,0.0
854038800000,0.0
854042400000,0.0
854046000000,0.0
854049600000,0.0
854053200000,0.0
854056800000,0.035
854060400000,0.247
854064000000,0.452
854067600000,0.6
854071200000,0.683
854074800000,0.725
854078400000,0.713
854082000000,0.65
854085600000,0.542
854089200000,0.386
854092800000,0.178
854096400000,0.003
854100000000,0.0
854103600000,0.0
854107200000,0.0
854110800000,0.0
854114400000,0.0
854118000000,0.0
854121600000,0.0
854125200000,0.0
854128800000,0.0
854132400000,0.0
854136000000,0.0
854139600000,0.0
854143200000,0.031
854146800000,0.234
