,V1
536457600000,0.834
536461200000,0.772
536464800000,0.681
536468400000,0.566
536472000000,0.451
536475600000,0.379
536479200000,0.341
536482800000,0.305
536486400000,0.233
536490000000,0.193
536493600000,0.173
536497200000,0.15
536500800000,0.124
536504400000,0.1
536508000000,0.086
536511600000,0.082
536515200000,0.088
536518800000,0.105
536522400000,0.135
536526000000,0.16
536529600000,0.178
536533200000,0.201
536536800000,0.21
536540400000,0.226
536544000000,0.278
536547600000,0.275
536551200000,0.245
536554800000,0.191
536558400000,0.137
536562000000,0.1
536565600000,0.078
536569200000,0.072
536572800000,0.073
536576400000,0.086
536580000000,0.104
536583600000,0.108
536587200000,0.107
536590800000,0.1
536594400000,0.078
536598000000,0.072
536601600000,0.078
536605200000,0.08
536608800000,0.079
536612400000,0.079
536616000000,0.083
536619600000,0.095
536623200000,0.11
536626800000,0.127
536630400000,0.196
536634000000,0.278
536637600000,0.337
536641200000,0.356
536644800000,0.352
536648400000,0.343
536652000000,0.325
536655600000,0.31
536659200000,0.249
536662800000,0.204
536666400000,0.206
536670000000,0.21
536673600000,0.204
536677200000,0.199
536680800000,0.212
536684400000,0.194
536688000000,0.179
536691600000,0.176
536695200000,0.188
536698800000,0.209
536702400000,0.249
536706000000,0.282
536709600000,0.283
536713200000,0.299
536716800000,0.452
536720400000,0.558
536724000000,0.591
536727600000,0.57
536731200000,0.522
536734800000,0.457
536738400000,0.38
536742000000,0.325
536745600000,0.263
536749200000,0.228
536752800000,0.23
536756400000,0.225
536760000000,0.236
536763600000,0.222
536767200000,0.207
536770800000,0.211
536774400000,0.221
536778000000,0.244
536781600000,0.279
536785200000,0.315
536788800000,0.318
536792400000,0.304
536796000000,0.29
536799600000,0.301
536803200000,0.391
536806800000,0.432
536810400000,0.434
536814000000,0.402
536817600000,0.358
536821200000,0.325
536824800000,0.312
536828400000,0.305
536832000000,0.258
536835600000,0.236
536839200000,0.242
536842800000,0.254
536846400000,0.268
536850000000,0.282
536853600000,0.297
536857200000,0.331
536860800000,0.363
536864400000,0.381
536868000000,0.397
536871600000,0.427
536875200000,0.451
536878800000,0.476
536882400000,0.449
536886000000,0.457
536889600000,0.596
536893200000,0.666
536896800000,0.703
536900400000,0.721
536904000000,0.737
536907600000,0.744
536911200000,0.738
536914800000,0.713
536918400000,0.588
536922000000,0.467
536925600000,0.459
536929200000,0.496
536932800000,0.487
536936400000,0.46
536940000000,0.459
536943600000,0.473
536947200000,0.464
536950800000,0.437
536954400000,0.466
536958000000,0.482
536961600000,0.491
536965200000,0.501
536968800000,0.501
536972400000,0.485
536976000000,0.627
536979600000,0.73
536983200000,0.775
536986800000,0.788
536990400000,0.781
536994000000,0.764
536997600000,0.746
537001200000,0.713
537004800000,0.587
537008400000,0.449
537012000000,0.461
537015600000,0.484
537019200000,0.513
537022800000,0.553
537026400000,0.604
537030000000,0.65
537033600000,0.679
537037200000,0.708
537040800000,0.709
537044400000,0.705
537048000000,0.708
537051600000,0.704
537055200000,0.681
537058800000,0.764
537062400000,0.87
537066000000,0.899
537069600000,0.909
537073200000,0.911
537076800000,0.907
537080400000,0.897
537084000000,0.889
537087600000,0.867
537091200000,0.78
537094800000,0.704
537098400000,0.688
537102000000,0.703
537105600000,0.727
537109200000,0.752
537112800000,0.78
537116400000,0.787
537120000000,0.777
537123600000,0.774
537127200000,0.77
537130800000,0.762
537134400000,0.746
537138000000,0.736
537141600000,0.744
537145200000,0.791
537148800000,0.887
537152400000,0.918
537156000000,0.922
537159600000,0.91
537163200000,0.888
537166800000,0.863
537170400000,0.841
537174000000,0.818
537177600000,0.731
537181200000,0.635
537184800000,0.61
537188400000,0.633
537192000000,0.633
537195600000,0.589
537199200000,0.59
537202800000,0.574
537206400000,0.568
537210000000,0.558
537213600000,0.55
537217200000,0.553
537220800000,0.566
537224400000,0.574
537228000000,0.562
537231600000,0.56
537235200000,0.739
537238800000,0.816
537242400000,0.822
537246000000,0.806
537249600000,0.788
537253200000,0.776
537256800000,0.777
537260400000,0.768
537264000000,0.693
537267600000,0.608
537271200000,0.552
537274800000,0.528
537278400000,0.471
537282000000,0.439
537285600000,0.417
537289200000,0.406
537292800000,0.424
537296400000,0.459
537300000000,0.464
537303600000,0.444
537307200000,0.44
537310800000,0.454
537314400000,0.433
537318000000,0.532
537321600000,0.765
537325200000,0.868
537328800000,0.911
537332400000,0.919
537336000000,0.899
537339600000,0.864
537343200000,0.824
537346800000,0.751
537350400000,0.612
537354000000,0.464
