,Py2
1640995200000,0.924
1640998800000,0.945
1641002400000,0.955
1641006000000,0.961
1641009600000,0.958
1641013200000,0.95
1641016800000,0.936
1641020400000,0.895
1641024000000,0.858
1641027600000,0.839
1641031200000,0.83
1641034800000,0.843
1641038400000,0.86
1641042000000,0.864
1641045600000,0.847
1641049200000,0.839
1641052800000,0.829
1641056400000,0.815
1641060000000,0.813
1641063600000,0.812
1641067200000,0.817
1641070800000,0.829
1641074400000,0.845
1641078000000,0.859
1641081600000,0.914
1641085200000,0.926
1641088800000,0.922
1641092400000,0.909
1641096000000,0.886
1641099600000,0.858
1641103200000,0.812
1641106800000,0.735
1641110400000,0.674
1641114000000,0.714
1641117600000,0.754
1641121200000,0.785
1641124800000,0.798
1641128400000,0.8
1641132000000,0.799
1641135600000,0.794
1641139200000,0.794
1641142800000,0.806
1641146400000,0.809
1641150000000,0.812
1641153600000,0.809
1641157200000,0.816
1641160800000,0.828
1641164400000,0.851
1641168000000,0.908
1641171600000,0.918
1641175200000,0.91
1641178800000,0.887
1641182400000,0.853
1641186000000,0.818
1641189600000,0.783
1641193200000,0.702
1641196800000,0.588
1641200400000,0.581
1641204000000,0.615
1641207600000,0.692
1641211200000,0.745
1641214800000,0.746
1641218400000,0.753
1641222000000,0.751
1641225600000,0.741
1641229200000,0.74
1641232800000,0.734
1641236400000,0.74
1641240000000,0.713
1641243600000,0.678
1641247200000,0.638
1641250800000,0.596
1641254400000,0.704
1641258000000,0.77
1641261600000,0.799
1641265200000,0.806
1641268800000,0.776
1641272400000,0.729
1641276000000,0.684
1641279600000,0.607
1641283200000,0.45
1641286800000,0.415
1641290400000,0.498
1641294000000,0.618
1641297600000,0.682
1641301200000,0.682
1641304800000,0.672
1641308400000,0.658
1641312000000,0.62
1641315600000,0.599
1641319200000,0.57
1641322800000,0.544
1641326400000,0.523
1641330000000,0.525
1641333600000,0.516
1641337200000,0.479
1641340800000,0.57
1641344400000,0.595
1641348000000,0.591
1641351600000,0.575
1641355200000,0.547
1641358800000,0.513
1641362400000,0.488
1641366000000,0.464
1641369600000,0.37
1641373200000,0.369
1641376800000,0.42
1641380400000,0.488
1641384000000,0.501
1641387600000,0.488
1641391200000,0.478
1641394800000,0.464
1641398400000,0.427
1641402000000,0.398
1641405600000,0.398
1641409200000,0.425
1641412800000,0.472
1641416400000,0.47
1641420000000,0.447
1641423600000,0.381
1641427200000,0.489
1641430800000,0.445
1641434400000,0.349
1641438000000,0.289
1641441600000,0.27
1641445200000,0.264
1641448800000,0.255
1641452400000,0.241
1641456000000,0.197
1641459600000,0.159
1641463200000,0.145
1641466800000,0.167
1641470400000,0.223
1641474000000,0.308
1641477600000,0.358
1641481200000,0.383
1641484800000,0.39
1641488400000,0.399
1641492000000,0.395
1641495600000,0.402
1641499200000,0.434
1641502800000,0.422
1641506400000,0.392
1641510000000,0.407
1641513600000,0.506
1641517200000,0.519
1641520800000,0.493
1641524400000,0.447
1641528000000,0.383
1641531600000,0.332
1641535200000,0.32
1641538800000,0.316
1641542400000,0.245
1641546000000,0.227
1641549600000,0.272
1641553200000,0.352
1641556800000,0.479
1641560400000,0.556
1641564000000,0.566
1641567600000,0.476
1641571200000,0.434
1641574800000,0.444
1641578400000,0.434
1641582000000,0.453
1641585600000,0.442
1641589200000,0.394
1641592800000,0.315
1641596400000,0.36
1641600000000,0.404
1641603600000,0.366
1641607200000,0.296
1641610800000,0.243
1641614400000,0.201
1641618000000,0.164
1641621600000,0.14
1641625200000,0.124
1641628800000,0.11
1641632400000,0.101
1641636000000,0.094
1641639600000,0.089
1641643200000,0.102
1641646800000,0.144
1641650400000,0.192
1641654000000,0.228
1641657600000,0.255
1641661200000,0.245
1641664800000,0.245
1641668400000,0.246
1641672000000,0.249
1641675600000,0.266
1641679200000,0.267
1641682800000,0.29
1641686400000,0.323
1641690000000,0.301
1641693600000,0.264
1641697200000,0.223
1641700800000,0.181
1641704400000,0.145
1641708000000,0.121
1641711600000,0.107
1641715200000,0.097
1641718800000,0.093
1641722400000,0.094
1641726000000,0.096
1641729600000,0.101
1641733200000,0.106
1641736800000,0.112
1641740400000,0.115
1641744000000,0.126
1641747600000,0.161
1641751200000,0.201
1641754800000,0.213
1641758400000,0.203
1641762000000,0.196
1641765600000,0.183
1641769200000,0.167
1641772800000,0.169
1641776400000,0.156
1641780000000,0.137
1641783600000,0.118
1641787200000,0.098
1641790800000,0.078
1641794400000,0.068
1641798000000,0.064
1641801600000,0.06
1641805200000,0.061
1641808800000,0.054
1641812400000,0.046
1641816000000,0.045
1641819600000,0.048
1641823200000,0.059
1641826800000,0.071
1641830400000,0.084
1641834000000,0.095
1641837600000,0.11
1641841200000,0.127
1641844800000,0.148
1641848400000,0.156
1641852000000,0.152
1641855600000,0.139
1641859200000,0.144
1641862800000,0.135
1641866400000,0.126
1641870000000,0.117
1641873600000,0.107
1641877200000,0.101
1641880800000,0.104
1641884400000,0.12
1641888000000,0.135
1641891600000,0.161
1641895200000,0.182
1641898800000,0.179
1641902400000,0.194
1641906000000,0.228
1641909600000,0.286
1641913200000,0.348
1641916800000,0.376
1641920400000,0.374
1641924000000,0.384
1641927600000,0.433
1641931200000,0.45
1641934800000,0.457
1641938400000,0.449
1641942000000,0.494
1641945600000,0.565
1641949200000,0.559
1641952800000,0.532
1641956400000,0.476
1641960000000,0.408
1641963600000,0.347
1641967200000,0.302
1641970800000,0.277
1641974400000,0.241
1641978000000,0.231
1641981600000,0.269
1641985200000,0.323
1641988800000,0.367
1641992400000,0.422
1641996000000,0.488
1641999600000,0.513
1642003200000,0.525
1642006800000,0.528
1642010400000,0.527
1642014000000,0.541
1642017600000,0.538
1642021200000,0.507
1642024800000,0.466
1642028400000,0.538
1642032000000,0.655
1642035600000,0.675
1642039200000,0.672
1642042800000,0.656
1642046400000,0.628
1642050000000,0.589
1642053600000,0.56
1642057200000,0.552
1642060800000,0.485
1642064400000,0.457
1642068000000,0.488
1642071600000,0.603
1642075200000,0.701
1642078800000,0.773
1642082400000,0.796
1642086000000,0.786
1642089600000,0.744
1642093200000,0.708
1642096800000,0.7
1642100400000,0.714
1642104000000,0.739
1642107600000,0.75
1642111200000,0.758
1642114800000,0.796
1642118400000,0.862
1642122000000,0.857
1642125600000,0.834
1642129200000,0.797
1642132800000,0.754
1642136400000,0.711
1642140000000,0.678
1642143600000,0.662
1642147200000,0.633
1642150800000,0.626
1642154400000,0.68
1642158000000,0.722
1642161600000,0.739
1642165200000,0.732
1642168800000,0.722
1642172400000,0.722
1642176000000,0.724
1642179600000,0.716
1642183200000,0.69
1642186800000,0.692
1642190400000,0.698
1642194000000,0.71
1642197600000,0.697
1642201200000,0.668
1642204800000,0.755
1642208400000,0.752
1642212000000,0.731
1642215600000,0.72
1642219200000,0.708
1642222800000,0.689
1642226400000,0.672
1642230000000,0.636
1642233600000,0.516
1642237200000,0.463
1642240800000,0.513
1642244400000,0.595
1642248000000,0.663
1642251600000,0.679
1642255200000,0.648
1642258800000,0.63
1642262400000,0.634
1642266000000,0.631
1642269600000,0.641
1642273200000,0.675
1642276800000,0.727
1642280400000,0.731
1642284000000,0.727
1642287600000,0.793
1642291200000,0.871
1642294800000,0.877
1642298400000,0.862
1642302000000,0.835
1642305600000,0.804
1642309200000,0.762
1642312800000,0.71
1642316400000,0.656
1642320000000,0.55
1642323600000,0.516
1642327200000,0.566
1642330800000,0.637
1642334400000,0.706
1642338000000,0.694
1642341600000,0.626
1642345200000,0.595
1642348800000,0.57
1642352400000,0.561
1642356000000,0.586
1642359600000,0.603
1642363200000,0.648
1642366800000,0.645
1642370400000,0.608
1642374000000,0.586
1642377600000,0.716
1642381200000,0.776
1642384800000,0.779
1642388400000,0.785
1642392000000,0.78
1642395600000,0.757
1642399200000,0.723
1642402800000,0.677
1642406400000,0.566
1642410000000,0.465
1642413600000,0.467
1642417200000,0.54
1642420800000,0.59
1642424400000,0.647
1642428000000,0.618
1642431600000,0.593
1642435200000,0.586
1642438800000,0.586
1642442400000,0.599
1642446000000,0.598
1642449600000,0.586
1642453200000,0.596
1642456800000,0.592
1642460400000,0.651
1642464000000,0.703
1642467600000,0.69
1642471200000,0.684
1642474800000,0.675
1642478400000,0.66
1642482000000,0.628
1642485600000,0.599
1642489200000,0.578
1642492800000,0.521
1642496400000,0.445
1642500000000,0.447
1642503600000,0.472
1642507200000,0.551
1642510800000,0.576
1642514400000,0.583
1642518000000,0.584
1642521600000,0.575
1642525200000,0.566
1642528800000,0.59
1642532400000,0.579
1642536000000,0.595
1642539600000,0.57
1642543200000,0.555
1642546800000,0.601
1642550400000,0.696
1642554000000,0.722
1642557600000,0.713
1642561200000,0.688
1642564800000,0.644
1642568400000,0.59
1642572000000,0.537
1642575600000,0.479
1642579200000,0.343
1642582800000,0.245
1642586400000,0.235
1642590000000,0.244
1642593600000,0.265
1642597200000,0.27
1642600800000,0.264
1642604400000,0.276
1642608000000,0.3
1642611600000,0.328
1642615200000,0.337
1642618800000,0.332
1642622400000,0.313
1642626000000,0.278
1642629600000,0.215
1642633200000,0.193
1642636800000,0.213
1642640400000,0.213
1642644000000,0.211
1642647600000,0.228
1642651200000,0.248
1642654800000,0.256
1642658400000,0.266
1642662000000,0.27
1642665600000,0.228
1642669200000,0.171
1642672800000,0.158
1642676400000,0.161
1642680000000,0.182
1642683600000,0.207
1642687200000,0.222
1642690800000,0.237
1642694400000,0.264
1642698000000,0.312
1642701600000,0.364
1642705200000,0.362
1642708800000,0.364
1642712400000,0.376
1642716000000,0.337
1642719600000,0.323
1642723200000,0.365
1642726800000,0.432
1642730400000,0.495
1642734000000,0.541
1642737600000,0.556
1642741200000,0.536
1642744800000,0.498
1642748400000,0.438
1642752000000,0.316
1642755600000,0.201
1642759200000,0.176
1642762800000,0.196
1642766400000,0.233
1642770000000,0.256
1642773600000,0.264
1642777200000,0.265
1642780800000,0.274
1642784400000,0.278
1642788000000,0.311
1642791600000,0.343
1642795200000,0.349
1642798800000,0.323
1642802400000,0.278
1642806000000,0.26
1642809600000,0.253
1642813200000,0.225
1642816800000,0.193
1642820400000,0.201
1642824000000,0.237
1642827600000,0.279
1642831200000,0.323
1642834800000,0.342
1642838400000,0.305
1642842000000,0.221
1642845600000,0.182
1642849200000,0.176
1642852800000,0.181
1642856400000,0.195
1642860000000,0.201
1642863600000,0.214
1642867200000,0.221
1642870800000,0.252
1642874400000,0.296
1642878000000,0.337
1642881600000,0.383
1642885200000,0.439
1642888800000,0.45
1642892400000,0.528
