,V2
725846400000,0.689
725850000000,0.677
725853600000,0.633
725857200000,0.547
725860800000,0.447
725864400000,0.366
725868000000,0.301
725871600000,0.249
725875200000,0.242
725878800000,0.303
725882400000,0.41
725886000000,0.46
725889600000,0.461
725893200000,0.526
725896800000,0.627
725900400000,0.706
725904000000,0.744
725907600000,0.751
725911200000,0.748
725914800000,0.744
725918400000,0.746
725922000000,0.746
725925600000,0.731
725929200000,0.726
725932800000,0.718
725936400000,0.676
725940000000,0.603
725943600000,0.496
725947200000,0.368
725950800000,0.258
725954400000,0.179
725958000000,0.132
725961600000,0.118
725965200000,0.157
725968800000,0.291
725972400000,0.424
725976000000,0.484
725979600000,0.547
725983200000,0.574
725986800000,0.618
725990400000,0.674
725994000000,0.724
725997600000,0.741
726001200000,0.742
726004800000,0.751
726008400000,0.753
726012000000,0.748
726015600000,0.759
726019200000,0.782
726022800000,0.762
726026400000,0.71
726030000000,0.668
726033600000,0.642
726037200000,0.618
726040800000,0.61
726044400000,0.61
726048000000,0.606
726051600000,0.601
726055200000,0.59
726058800000,0.547
726062400000,0.516
726066000000,0.496
726069600000,0.494
726073200000,0.541
726076800000,0.649
726080400000,0.698
726084000000,0.722
726087600000,0.741
726091200000,0.752
726094800000,0.772
726098400000,0.787
726102000000,0.788
726105600000,0.82
726109200000,0.812
726112800000,0.756
726116400000,0.679
726120000000,0.604
726123600000,0.554
726127200000,0.544
726130800000,0.578
726134400000,0.636
726138000000,0.674
726141600000,0.692
726145200000,0.685
726148800000,0.661
726152400000,0.635
726156000000,0.653
726159600000,0.669
726163200000,0.685
726166800000,0.665
726170400000,0.642
726174000000,0.63
726177600000,0.642
726181200000,0.649
726184800000,0.663
726188400000,0.734
726192000000,0.825
726195600000,0.847
726199200000,0.831
726202800000,0.788
726206400000,0.72
726210000000,0.642
726213600000,0.581
726217200000,0.593
726220800000,0.663
726224400000,0.724
726228000000,0.753
726231600000,0.716
726235200000,0.663
726238800000,0.616
726242400000,0.599
726246000000,0.618
726249600000,0.633
726253200000,0.625
726256800000,0.601
726260400000,0.583
726264000000,0.599
726267600000,0.643
726271200000,0.707
726274800000,0.8
726278400000,0.884
726282000000,0.914
726285600000,0.908
726289200000,0.881
726292800000,0.841
726296400000,0.785
726300000000,0.719
726303600000,0.637
726307200000,0.49
726310800000,0.393
726314400000,0.395
726318000000,0.402
726321600000,0.341
726325200000,0.27
726328800000,0.325
726332400000,0.53
726336000000,0.71
726339600000,0.746
726343200000,0.746
726346800000,0.746
726350400000,0.712
726354000000,0.646
726357600000,0.604
726361200000,0.614
726364800000,0.731
726368400000,0.835
726372000000,0.886
726375600000,0.884
726379200000,0.86
726382800000,0.85
726386400000,0.836
726390000000,0.817
726393600000,0.792
726397200000,0.781
726400800000,0.783
726404400000,0.762
726408000000,0.776
726411600000,0.827
726415200000,0.879
726418800000,0.902
726422400000,0.905
726426000000,0.904
726429600000,0.904
726433200000,0.909
726436800000,0.908
726440400000,0.898
726444000000,0.885
726447600000,0.891
726451200000,0.91
726454800000,0.916
726458400000,0.903
726462000000,0.885
726465600000,0.87
726469200000,0.86
726472800000,0.86
726476400000,0.866
726480000000,0.87
726483600000,0.863
726487200000,0.835
726490800000,0.789
726494400000,0.777
726498000000,0.795
726501600000,0.808
726505200000,0.829
726508800000,0.844
726512400000,0.85
726516000000,0.856
726519600000,0.859
726523200000,0.855
726526800000,0.829
726530400000,0.802
726534000000,0.823
726537600000,0.852
726541200000,0.841
726544800000,0.776
726548400000,0.677
726552000000,0.574
726555600000,0.484
726559200000,0.46
726562800000,0.488
726566400000,0.542
726570000000,0.625
726573600000,0.666
726577200000,0.638
726580800000,0.58
726584400000,0.564
726588000000,0.657
726591600000,0.73
726595200000,0.767
726598800000,0.778
726602400000,0.786
726606000000,0.788
726609600000,0.781
726613200000,0.762
726616800000,0.73
726620400000,0.718
726624000000,0.777
726627600000,0.791
726631200000,0.718
726634800000,0.61
726638400000,0.521
726642000000,0.468
726645600000,0.472
726649200000,0.516
726652800000,0.558
726656400000,0.592
726660000000,0.626
726663600000,0.563
726667200000,0.476
726670800000,0.394
726674400000,0.355
726678000000,0.375
726681600000,0.391
726685200000,0.382
726688800000,0.338
726692400000,0.293
726696000000,0.276
726699600000,0.294
726703200000,0.348
726706800000,0.482
726710400000,0.666
726714000000,0.777
726717600000,0.819
726721200000,0.82
726724800000,0.798
726728400000,0.763
726732000000,0.72
726735600000,0.661
726739200000,0.578
726742800000,0.495
726746400000,0.479
726750000000,0.466
726753600000,0.444
726757200000,0.435
726760800000,0.429
726764400000,0.403
726768000000,0.394
726771600000,0.492
726775200000,0.626
726778800000,0.674
726782400000,0.694
726786000000,0.708
726789600000,0.72
726793200000,0.762
726796800000,0.82
726800400000,0.848
726804000000,0.829
726807600000,0.777
726811200000,0.718
726814800000,0.674
726818400000,0.669
726822000000,0.696
726825600000,0.724
726829200000,0.746
726832800000,0.743
726836400000,0.654
726840000000,0.59
726843600000,0.554
726847200000,0.516
726850800000,0.51
726854400000,0.66
726858000000,0.763
726861600000,0.787
726865200000,0.785
726868800000,0.77
726872400000,0.735
726876000000,0.7
726879600000,0.704
726883200000,0.718
726886800000,0.697
726890400000,0.63
726894000000,0.536
726897600000,0.444
726901200000,0.356
726904800000,0.294
726908400000,0.278
726912000000,0.313
726915600000,0.4
726919200000,0.525
726922800000,0.574
726926400000,0.525
726930000000,0.431
726933600000,0.384
726937200000,0.388
726940800000,0.461
726944400000,0.56
726948000000,0.613
726951600000,0.63
726955200000,0.647
726958800000,0.639
726962400000,0.625
726966000000,0.646
726969600000,0.685
726973200000,0.675
726976800000,0.622
726980400000,0.549
726984000000,0.441
726987600000,0.32
726991200000,0.223
726994800000,0.177
726998400000,0.177
727002000000,0.217
727005600000,0.328
727009200000,0.414
727012800000,0.388
727016400000,0.352
727020000000,0.316
727023600000,0.289
727027200000,0.277
727030800000,0.272
727034400000,0.258
727038000000,0.266
727041600000,0.294
727045200000,0.318
727048800000,0.321
727052400000,0.315
727056000000,0.345
727059600000,0.383
727063200000,0.376
727066800000,0.369
727070400000,0.367
727074000000,0.329
727077600000,0.265
727081200000,0.186
727084800000,0.104
727088400000,0.035
727092000000,0.019
727095600000,0.042
727099200000,0.082
727102800000,0.115
727106400000,0.14
727110000000,0.161
727113600000,0.184
727117200000,0.208
727120800000,0.274
727124400000,0.387
727128000000,0.4
727131600000,0.293
727135200000,0.245
727138800000,0.214
727142400000,0.21
727146000000,0.176
727149600000,0.115
727153200000,0.067
727156800000,0.035
727160400000,0.013
727164000000,0.002
727167600000,0.0
727171200000,0.0
727174800000,0.0
727178400000,0.001
727182000000,0.005
727185600000,0.014
727189200000,0.026
727192800000,0.036
727196400000,0.057
727200000000,0.105
727203600000,0.151
727207200000,0.189
727210800000,0.236
727214400000,0.297
727218000000,0.337
727221600000,0.386
727225200000,0.457
727228800000,0.532
727232400000,0.56
727236000000,0.532
727239600000,0.476
727243200000,0.42
727246800000,0.368
727250400000,0.351
727254000000,0.374
727257600000,0.407
727261200000,0.447
727264800000,0.488
727268400000,0.465
727272000000,0.386
727275600000,0.316
727279200000,0.298
727282800000,0.337
727286400000,0.398
727290000000,0.476
727293600000,0.522
727297200000,0.535
727300800000,0.529
727304400000,0.501
727308000000,0.466
727311600000,0.451
727315200000,0.436
727318800000,0.395
727322400000,0.328
727326000000,0.26
727329600000,0.201
727333200000,0.141
727336800000,0.108
727340400000,0.105
727344000000,0.132
727347600000,0.196
727351200000,0.311
727354800000,0.391
727358400000,0.413
727362000000,0.399
727365600000,0.349
727369200000,0.309
727372800000,0.283
727376400000,0.311
727380000000,0.361
727383600000,0.405
727387200000,0.442
727390800000,0.465
727394400000,0.472
727398000000,0.481
727401600000,0.476
727405200000,0.433
727408800000,0.362
727412400000,0.303
727416000000,0.263
727419600000,0.227
727423200000,0.223
727426800000,0.249
727430400000,0.3
727434000000,0.349
727437600000,0.411
727441200000,0.417
727444800000,0.378
727448400000,0.332
727452000000,0.274
727455600000,0.253
727459200000,0.258
727462800000,0.32
727466400000,0.422
727470000000,0.486
727473600000,0.513
727477200000,0.518
727480800000,0.529
727484400000,0.558
727488000000,0.583
727491600000,0.559
727495200000,0.501
727498800000,0.402
727502400000,0.294
727506000000,0.226
727509600000,0.204
