,S1
947962800000,0.317
947966400000,0.325
947970000000,0.346
947973600000,0.355
947977200000,0.326
947980800000,0.395
947984400000,0.464
947988000000,0.457
947991600000,0.448
947995200000,0.435
947998800000,0.423
948002400000,0.407
948006000000,0.38
948009600000,0.354
948013200000,0.379
948016800000,0.381
948020400000,0.374
948024000000,0.367
948027600000,0.364
948031200000,0.359
948034800000,0.364
948038400000,0.393
948042000000,0.403
948045600000,0.413
948049200000,0.425
948052800000,0.425
948056400000,0.427
948060000000,0.409
948063600000,0.379
948067200000,0.431
948070800000,0.495
948074400000,0.474
948078000000,0.444
948081600000,0.421
948085200000,0.395
948088800000,0.374
948092400000,0.354
948096000000,0.343
948099600000,0.36
948103200000,0.373
948106800000,0.378
948110400000,0.393
948114000000,0.422
948117600000,0.449
948121200000,0.481
948124800000,0.481
948128400000,0.462
948132000000,0.451
948135600000,0.464
948139200000,0.504
948142800000,0.538
948146400000,0.532
948150000000,0.494
948153600000,0.587
948157200000,0.625
948160800000,0.587
948164400000,0.519
948168000000,0.449
948171600000,0.399
948175200000,0.369
948178800000,0.346
948182400000,0.352
948186000000,0.391
948189600000,0.407
948193200000,0.413
948196800000,0.406
948200400000,0.39
948204000000,0.365
948207600000,0.349
948211200000,0.328
948214800000,0.309
948218400000,0.291
948222000000,0.291
948225600000,0.314
948229200000,0.325
948232800000,0.312
948236400000,0.265
948240000000,0.332
948243600000,0.358
948247200000,0.341
948250800000,0.325
948254400000,0.31
948258000000,0.291
948261600000,0.272
948265200000,0.248
948268800000,0.237
948272400000,0.272
948276000000,0.274
948279600000,0.259
948283200000,0.249
948286800000,0.239
948290400000,0.248
948294000000,0.275
948297600000,0.311
948301200000,0.344
948304800000,0.394
948308400000,0.45
948312000000,0.518
948315600000,0.523
948319200000,0.454
948322800000,0.364
948326400000,0.46
948330000000,0.494
948333600000,0.506
948337200000,0.578
948340800000,0.663
948344400000,0.718
948348000000,0.75
948351600000,0.734
948355200000,0.717
948358800000,0.737
948362400000,0.746
948366000000,0.762
948369600000,0.758
948373200000,0.727
948376800000,0.737
948380400000,0.755
948384000000,0.786
948387600000,0.812
948391200000,0.829
948394800000,0.839
948398400000,0.839
948402000000,0.837
948405600000,0.836
948409200000,0.837
948412800000,0.917
948416400000,0.955
948420000000,0.958
948423600000,0.967
948427200000,0.97
948430800000,0.968
948434400000,0.963
948438000000,0.952
948441600000,0.939
948445200000,0.943
948448800000,0.955
948452400000,0.962
948456000000,0.964
948459600000,0.965
948463200000,0.965
948466800000,0.969
948470400000,0.97
948474000000,0.965
948477600000,0.957
948481200000,0.948
948484800000,0.942
948488400000,0.945
948492000000,0.95
948495600000,0.953
948499200000,0.976
948502800000,0.986
948506400000,0.986
948510000000,0.985
948513600000,0.982
948517200000,0.978
948520800000,0.974
948524400000,0.968
948528000000,0.958
948531600000,0.948
948535200000,0.932
948538800000,0.927
948542400000,0.922
948546000000,0.91
948549600000,0.89
948553200000,0.9
948556800000,0.894
948560400000,0.902
948564000000,0.915
948567600000,0.919
948571200000,0.924
948574800000,0.928
948578400000,0.927
948582000000,0.921
948585600000,0.951
948589200000,0.97
948592800000,0.968
948596400000,0.966
948600000000,0.961
948603600000,0.955
948607200000,0.948
948610800000,0.939
948614400000,0.919
948618000000,0.914
948621600000,0.912
948625200000,0.907
948628800000,0.897
948632400000,0.89
948636000000,0.868
948639600000,0.86
948643200000,0.851
948646800000,0.837
948650400000,0.821
948654000000,0.806
948657600000,0.787
948661200000,0.772
948664800000,0.774
948668400000,0.74
948672000000,0.814
948675600000,0.866
948679200000,0.876
948682800000,0.867
948686400000,0.849
948690000000,0.829
948693600000,0.82
948697200000,0.802
948700800000,0.781
948704400000,0.791
948708000000,0.799
948711600000,0.808
948715200000,0.815
948718800000,0.823
948722400000,0.814
948726000000,0.789
948729600000,0.762
948733200000,0.735
948736800000,0.726
948740400000,0.724
948744000000,0.732
948747600000,0.739
948751200000,0.708
948754800000,0.654
948758400000,0.628
948762000000,0.666
948765600000,0.699
948769200000,0.668
948772800000,0.62
948776400000,0.586
948780000000,0.559
948783600000,0.544
948787200000,0.562
948790800000,0.661
948794400000,0.724
948798000000,0.769
948801600000,0.791
948805200000,0.786
948808800000,0.759
948812400000,0.735
948816000000,0.708
948819600000,0.704
948823200000,0.71
948826800000,0.722
948830400000,0.732
948834000000,0.765
948837600000,0.825
948841200000,0.852
948844800000,0.918
948848400000,0.954
948852000000,0.956
948855600000,0.949
948859200000,0.938
948862800000,0.923
948866400000,0.901
948870000000,0.871
948873600000,0.832
948877200000,0.814
948880800000,0.833
948884400000,0.845
948888000000,0.845
948891600000,0.835
948895200000,0.833
948898800000,0.82
948902400000,0.809
948906000000,0.791
948909600000,0.784
948913200000,0.821
948916800000,0.845
948920400000,0.875
948924000000,0.894
948927600000,0.883
948931200000,0.945
948934800000,0.969
948938400000,0.97
948942000000,0.961
948945600000,0.942
948949200000,0.929
948952800000,0.92
948956400000,0.904
948960000000,0.885
948963600000,0.893
948967200000,0.906
948970800000,0.91
948974400000,0.905
948978000000,0.927
948981600000,0.926
948985200000,0.926
948988800000,0.926
948992400000,0.925
948996000000,0.933
948999600000,0.943
949003200000,0.952
949006800000,0.96
949010400000,0.965
949014000000,0.973
949017600000,0.987
949021200000,0.99
949024800000,0.989
949028400000,0.987
949032000000,0.983
949035600000,0.979
949039200000,0.976
949042800000,0.97
949046400000,0.959
949050000000,0.954
949053600000,0.95
949057200000,0.948
949060800000,0.948
949064400000,0.944
949068000000,0.943
949071600000,0.939
949075200000,0.928
949078800000,0.924
949082400000,0.919
949086000000,0.914
949089600000,0.914
949093200000,0.913
949096800000,0.912
949100400000,0.904
949104000000,0.941
949107600000,0.953
949111200000,0.952
949114800000,0.943
949118400000,0.932
949122000000,0.923
949125600000,0.914
949129200000,0.897
949132800000,0.869
949136400000,0.839
949140000000,0.844
949143600000,0.862
949147200000,0.875
949150800000,0.883
949154400000,0.886
949158000000,0.887
949161600000,0.89
949165200000,0.895
949168800000,0.899
949172400000,0.905
949176000000,0.911
949179600000,0.919
949183200000,0.925
949186800000,0.938
949190400000,0.968
949194000000,0.979
949197600000,0.981
949201200000,0.98
949204800000,0.976
949208400000,0.971
949212000000,0.967
949215600000,0.96
949219200000,0.945
949222800000,0.93
949226400000,0.917
949230000000,0.907
949233600000,0.892
949237200000,0.865
949240800000,0.859
949244400000,0.862
949248000000,0.846
949251600000,0.821
949255200000,0.822
949258800000,0.794
949262400000,0.791
949266000000,0.789
949269600000,0.77
949273200000,0.809
949276800000,0.892
949280400000,0.925
949284000000,0.933
949287600000,0.943
949291200000,0.954
949294800000,0.96
949298400000,0.955
949302000000,0.951
949305600000,0.947
949309200000,0.95
949312800000,0.954
949316400000,0.96
949320000000,0.966
949323600000,0.966
949327200000,0.96
949330800000,0.955
949334400000,0.948
949338000000,0.943
949341600000,0.942
949345200000,0.942
949348800000,0.943
949352400000,0.943
949356000000,0.946
949359600000,0.941
949363200000,0.951
949366800000,0.961
949370400000,0.963
949374000000,0.961
949377600000,0.952
949381200000,0.932
949384800000,0.902
949388400000,0.865
949392000000,0.853
949395600000,0.868
949399200000,0.871
949402800000,0.876
949406400000,0.875
949410000000,0.871
949413600000,0.863
949417200000,0.85
949420800000,0.836
949424400000,0.835
949428000000,0.841
949431600000,0.844
949435200000,0.833
949438800000,0.862
949442400000,0.88
949446000000,0.913
949449600000,0.943
949453200000,0.958
949456800000,0.954
949460400000,0.95
949464000000,0.938
949467600000,0.932
949471200000,0.914
949474800000,0.883
949478400000,0.824
949482000000,0.801
949485600000,0.812
949489200000,0.828
949492800000,0.839
949496400000,0.849
949500000000,0.879
949503600000,0.89
949507200000,0.882
949510800000,0.872
949514400000,0.856
949518000000,0.844
949521600000,0.847
949525200000,0.846
949528800000,0.837
949532400000,0.836
949536000000,0.868
949539600000,0.874
949543200000,0.881
949546800000,0.866
949550400000,0.839
949554000000,0.82
949557600000,0.806
949561200000,0.773
949564800000,0.746
949568400000,0.757
949572000000,0.762
949575600000,0.765
949579200000,0.761
949582800000,0.724
949586400000,0.692
949590000000,0.638
949593600000,0.578
949597200000,0.559
949600800000,0.564
949604400000,0.575
949608000000,0.596
949611600000,0.595
949615200000,0.62
949618800000,0.591
949622400000,0.649
949626000000,0.681
949629600000,0.698
949633200000,0.7
949636800000,0.693
949640400000,0.679
949644000000,0.669
949647600000,0.647
949651200000,0.621
949654800000,0.645
949658400000,0.662
949662000000,0.662
949665600000,0.652
949669200000,0.645
949672800000,0.653
949676400000,0.671
949680000000,0.698
949683600000,0.697
949687200000,0.667
949690800000,0.621
949694400000,0.603
949698000000,0.565
949701600000,0.517
949705200000,0.459
949708800000,0.474
949712400000,0.529
949716000000,0.568
949719600000,0.601
949723200000,0.614
949726800000,0.59
949730400000,0.556
949734000000,0.479
949737600000,0.383
949741200000,0.345
949744800000,0.333
949748400000,0.348
949752000000,0.355
949755600000,0.372
949759200000,0.41
949762800000,0.467
949766400000,0.51
949770000000,0.56
949773600000,0.567
949777200000,0.547
949780800000,0.542
949784400000,0.544
949788000000,0.516
949791600000,0.466
949795200000,0.509
949798800000,0.585
949802400000,0.595
949806000000,0.548
949809600000,0.488
949813200000,0.422
949816800000,0.349
949820400000,0.28
949824000000,0.245
949827600000,0.231
949831200000,0.212
949834800000,0.185
949838400000,0.16
949842000000,0.146
949845600000,0.135
949849200000,0.139
949852800000,0.155
949856400000,0.172
949860000000,0.188
949863600000,0.197
949867200000,0.205
949870800000,0.209
949874400000,0.188
949878000000,0.142
949881600000,0.167
949885200000,0.155
949888800000,0.127
949892400000,0.108
949896000000,0.089
949899600000,0.067
949903200000,0.043
949906800000,0.032
949910400000,0.035
949914000000,0.041
949917600000,0.045
949921200000,0.047
949924800000,0.049
949928400000,0.049
949932000000,0.042
949935600000,0.033
949939200000,0.022
949942800000,0.015
949946400000,0.013
949950000000,0.017
949953600000,0.025
949957200000,0.03
949960800000,0.021
949964400000,0.007
949968000000,0.0
949971600000,0.0
949975200000,0.0
949978800000,0.0
949982400000,0.0
949986000000,0.0
949989600000,0.001
949993200000,0.005
949996800000,0.037
950000400000,0.093
950004000000,0.166
950007600000,0.231
950011200000,0.241
950014800000,0.218
950018400000,0.241
950022000000,0.249
950025600000,0.237
950029200000,0.241
950032800000,0.264
950036400000,0.308
950040000000,0.355
950043600000,0.413
950047200000,0.456
950050800000,0.481
950054400000,0.58
950058000000,0.715
950061600000,0.791
950065200000,0.818
950068800000,0.845
950072400000,0.857
950076000000,0.855
950079600000,0.838
950083200000,0.804
950086800000,0.794
950090400000,0.805
950094000000,0.823
950097600000,0.837
950101200000,0.84
950104800000,0.835
950108400000,0.817
950112000000,0.796
950115600000,0.756
950119200000,0.708
950122800000,0.714
950126400000,0.718
950130000000,0.689
950133600000,0.663
950137200000,0.69
950140800000,0.786
950144400000,0.831
950148000000,0.809
950151600000,0.748
950155200000,0.659
950158800000,0.571
950162400000,0.478
950166000000,0.429
950169600000,0.386
950173200000,0.417
950176800000,0.494
950180400000,0.544
950184000000,0.559
950187600000,0.567
950191200000,0.6
950194800000,0.606
950198400000,0.587
950202000000,0.552
950205600000,0.513
950209200000,0.494
950212800000,0.482
950216400000,0.481
950220000000,0.45
950223600000,0.388
950227200000,0.435
950230800000,0.476
950234400000,0.503
950238000000,0.472
950241600000,0.419
950245200000,0.352
950248800000,0.274
950252400000,0.214
950256000000,0.187
950259600000,0.216
950263200000,0.243
950266800000,0.272
950270400000,0.3
950274000000,0.311
950277600000,0.305
950281200000,0.287
950284800000,0.268
950288400000,0.247
950292000000,0.238
950295600000,0.249
950299200000,0.264
950302800000,0.257
950306400000,0.238
950310000000,0.201
950313600000,0.209
950317200000,0.234
950320800000,0.233
950324400000,0.214
950328000000,0.183
950331600000,0.15
950335200000,0.119
950338800000,0.088
950342400000,0.08
950346000000,0.093
950349600000,0.094
950353200000,0.088
950356800000,0.071
950360400000,0.043
950364000000,0.01
950367600000,0.001
950371200000,0.0
950374800000,0.0
950378400000,0.0
950382000000,0.001
950385600000,0.01
950389200000,0.025
950392800000,0.036
950396400000,0.024
950400000000,0.028
950403600000,0.027
950407200000,0.023
950410800000,0.02
950414400000,0.019
950418000000,0.02
950421600000,0.023
950425200000,0.029
950428800000,0.041
950432400000,0.074
950436000000,0.102
950439600000,0.112
950443200000,0.117
950446800000,0.115
950450400000,0.106
950454000000,0.093
950457600000,0.079
950461200000,0.067
950464800000,0.059
950468400000,0.061
950472000000,0.074
950475600000,0.098
950479200000,0.104
950482800000,0.11
950486400000,0.146
950490000000,0.159
950493600000,0.155
950497200000,0.145
950500800000,0.133
950504400000,0.123
950508000000,0.114
950511600000,0.108
950515200000,0.1
950518800000,0.133
950522400000,0.16
950526000000,0.176
950529600000,0.199
950533200000,0.213
950536800000,0.219
950540400000,0.221
950544000000,0.218
950547600000,0.211
950551200000,0.21
950554800000,0.22
950558400000,0.241
950562000000,0.266
950565600000,0.256
950569200000,0.279
950572800000,0.407
950576400000,0.455
950580000000,0.458
950583600000,0.437
950587200000,0.404
950590800000,0.368
950594400000,0.325
950598000000,0.276
950601600000,0.254
950605200000,0.265
950608800000,0.297
950612400000,0.352
950616000000,0.413
950619600000,0.459
950623200000,0.47
950626800000,0.472
950630400000,0.482
950634000000,0.486
950637600000,0.501
950641200000,0.509
950644800000,0.529
950648400000,0.539
950652000000,0.523
950655600000,0.55
950659200000,0.621
950662800000,0.693
950666400000,0.724
950670000000,0.75
950673600000,0.782
950677200000,0.8
950680800000,0.8
950684400000,0.784
950688000000,0.768
950691600000,0.753
950695200000,0.757
950698800000,0.764
950702400000,0.765
950706000000,0.759
950709600000,0.73
950713200000,0.729
950716800000,0.751
950720400000,0.737
950724000000,0.777
950727600000,0.804
950731200000,0.849
950734800000,0.852
950738400000,0.849
950742000000,0.852
950745600000,0.884
950749200000,0.894
950752800000,0.878
950756400000,0.859
950760000000,0.845
950763600000,0.829
950767200000,0.814
950770800000,0.806
950774400000,0.792
950778000000,0.791
950781600000,0.797
950785200000,0.82
950788800000,0.835
950792400000,0.845
950796000000,0.849
950799600000,0.852
950803200000,0.843
950806800000,0.831
950810400000,0.834
950814000000,0.827
950817600000,0.806
950821200000,0.802
950824800000,0.787
950828400000,0.828
950832000000,0.891
950835600000,0.915
950839200000,0.909
950842800000,0.905
950846400000,0.899
950850000000,0.89
950853600000,0.873
950857200000,0.85
950860800000,0.812
950864400000,0.793
950868000000,0.778
950871600000,0.78
950875200000,0.791
950878800000,0.788
950882400000,0.778
950886000000,0.77
950889600000,0.755
950893200000,0.748
950896800000,0.744
950900400000,0.758
950904000000,0.772
950907600000,0.776
950911200000,0.733
950914800000,0.776
950918400000,0.86
950922000000,0.877
950925600000,0.858
950929200000,0.825
950932800000,0.773
950936400000,0.708
950940000000,0.622
950943600000,0.513
950947200000,0.422
950950800000,0.368
950954400000,0.349
950958000000,0.341
950961600000,0.332
950965200000,0.314
950968800000,0.291
950972400000,0.266
950976000000,0.254
950979600000,0.251
950983200000,0.25
950986800000,0.256
950990400000,0.272
950994000000,0.3
950997600000,0.291
951001200000,0.32
951004800000,0.459
951008400000,0.501
951012000000,0.488
951015600000,0.454
951019200000,0.42
951022800000,0.391
951026400000,0.367
951030000000,0.337
951033600000,0.281
951037200000,0.255
951040800000,0.231
951044400000,0.222
951048000000,0.214
951051600000,0.216
951055200000,0.22
951058800000,0.209
951062400000,0.194
951066000000,0.193
951069600000,0.2
951073200000,0.217
951076800000,0.248
951080400000,0.278
951084000000,0.278
951087600000,0.316
951091200000,0.452
951094800000,0.561
951098400000,0.582
951102000000,0.594
951105600000,0.61
951109200000,0.607
951112800000,0.584
951116400000,0.55
951120000000,0.479
951123600000,0.414
951127200000,0.418
951130800000,0.437
951134400000,0.467
951138000000,0.474
