,S1
946684800000,0.353
946688400000,0.457
946692000000,0.495
946695600000,0.521
946699200000,0.501
946702800000,0.42
946706400000,0.324
946710000000,0.189
946713600000,0.057
946717200000,0.0
946720800000,0.0
946724400000,0.0
946728000000,0.0
946731600000,0.0
946735200000,0.0
946738800000,0.0
946742400000,0.0
946746000000,0.0
946749600000,0.0
946753200000,0.0
946756800000,0.0
946760400000,0.0
946764000000,0.048
946767600000,0.218
946771200000,0.387
946774800000,0.534
946778400000,0.601
946782000000,0.612
946785600000,0.59
946789200000,0.537
946792800000,0.407
946796400000,0.249
946800000000,0.09
946803600000,0.0
946807200000,0.0
946810800000,0.0
946814400000,0.0
946818000000,0.0
946821600000,0.0
946825200000,0.0
946828800000,0.0
946832400000,0.0
946836000000,0.0
946839600000,0.0
946843200000,0.0
946846800000,0.0
946850400000,0.022
946854000000,0.125
946857600000,0.24
946861200000,0.324
946864800000,0.363
946868400000,0.365
946872000000,0.353
946875600000,0.31
946879200000,0.24
946882800000,0.144
946886400000,0.049
946890000000,0.0
946893600000,0.0
946897200000,0.0
946900800000,0.0
946904400000,0.0
946908000000,0.0
946911600000,0.0
946915200000,0.0
946918800000,0.0
946922400000,0.0
946926000000,0.0
946929600000,0.0
946933200000,0.0
946936800000,0.036
946940400000,0.193
946944000000,0.382
946947600000,0.516
946951200000,0.604
946954800000,0.642
946958400000,0.625
946962000000,0.566
946965600000,0.423
946969200000,0.267
946972800000,0.1
946976400000,0.0
946980000000,0.0
946983600000,0.0
946987200000,0.0
946990800000,0.0
946994400000,0.0
946998000000,0.0
947001600000,0.0
947005200000,0.0
947008800000,0.0
947012400000,0.0
947016000000,0.0
947019600000,0.0
947023200000,0.056
947026800000,0.253
947030400000,0.445
947034000000,0.58
947037600000,0.657
947041200000,0.687
947044800000,0.662
947048400000,0.587
947052000000,0.479
947055600000,0.297
947059200000,0.096
947062800000,0.0
947066400000,0.0
947070000000,0.0
947073600000,0.0
947077200000,0.0
947080800000,0.0
947084400000,0.0
947088000000,0.0
947091600000,0.0
947095200000,0.0
947098800000,0.0
947102400000,0.0
947106000000,0.0
947109600000,0.051
947113200000,0.234
947116800000,0.427
947120400000,0.566
947124000000,0.643
947127600000,0.68
947131200000,0.663
947134800000,0.6
947138400000,0.481
947142000000,0.314
947145600000,0.113
947149200000,0.0
947152800000,0.0
947156400000,0.0
947160000000,0.0
947163600000,0.0
947167200000,0.0
947170800000,0.0
947174400000,0.0
947178000000,0.0
947181600000,0.0
947185200000,0.0
947188800000,0.0
947192400000,0.0
947196000000,0.045
947199600000,0.212
947203200000,0.404
947206800000,0.572
947210400000,0.671
947214000000,0.712
947217600000,0.699
947221200000,0.633
947224800000,0.515
947228400000,0.347
947232000000,0.135
947235600000,0.0
947239200000,0.0
947242800000,0.0
947246400000,0.0
947250000000,0.0
947253600000,0.0
947257200000,0.0
947260800000,0.0
947264400000,0.0
947268000000,0.0
947271600000,0.0
947275200000,0.0
947278800000,0.0
947282400000,0.049
947286000000,0.209
947289600000,0.4
947293200000,0.526
947296800000,0.622
947300400000,0.657
947304000000,0.635
947307600000,0.502
947311200000,0.322
947314800000,0.179
947318400000,0.055
947322000000,0.0
947325600000,0.0
947329200000,0.0
947332800000,0.0
947336400000,0.0
947340000000,0.0
947343600000,0.0
947347200000,0.0
947350800000,0.0
947354400000,0.0
947358000000,0.0
947361600000,0.0
947365200000,0.0
947368800000,0.049
947372400000,0.225
947376000000,0.401
947379600000,0.53
947383200000,0.593
947386800000,0.613
947390400000,0.605
947394000000,0.514
947397600000,0.404
947401200000,0.25
947404800000,0.08
947408400000,0.0
947412000000,0.0
947415600000,0.0
947419200000,0.0
947422800000,0.0
947426400000,0.0
947430000000,0.0
947433600000,0.0
947437200000,0.0
947440800000,0.0
947444400000,0.0
947448000000,0.0
947451600000,0.0
947455200000,0.025
947458800000,0.156
947462400000,0.345
947466000000,0.528
947469600000,0.642
947473200000,0.691
947476800000,0.683
947480400000,0.614
947484000000,0.498
947487600000,0.322
947491200000,0.115
947494800000,0.0
947498400000,0.0
947502000000,0.0
947505600000,0.0
947509200000,0.0
947512800000,0.0
947516400000,0.0
947520000000,0.0
947523600000,0.0
947527200000,0.0
947530800000,0.0
947534400000,0.0
947538000000,0.0
947541600000,0.051
947545200000,0.235
947548800000,0.432
947552400000,0.565
947556000000,0.649
947559600000,0.684
947563200000,0.674
947566800000,0.611
947570400000,0.477
947574000000,0.285
947577600000,0.091
947581200000,0.0
947584800000,0.0
947588400000,0.0
947592000000,0.0
947595600000,0.0
947599200000,0.0
947602800000,0.0
947606400000,0.0
947610000000,0.0
947613600000,0.0
947617200000,0.0
947620800000,0.0
947624400000,0.0
947628000000,0.048
947631600000,0.21
947635200000,0.369
947638800000,0.509
947642400000,0.566
947646000000,0.567
947649600000,0.557
947653200000,0.476
947656800000,0.342
947660400000,0.196
947664000000,0.057
947667600000,0.0
947671200000,0.0
947674800000,0.0
947678400000,0.0
947682000000,0.0
947685600000,0.0
947689200000,0.0
947692800000,0.0
947696400000,0.0
947700000000,0.0
947703600000,0.0
947707200000,0.0
947710800000,0.0
947714400000,0.014
947718000000,0.108
947721600000,0.229
947725200000,0.336
947728800000,0.398
947732400000,0.438
947736000000,0.418
947739600000,0.398
947743200000,0.316
947746800000,0.2
947750400000,0.071
947754000000,0.0
947757600000,0.0
947761200000,0.0
947764800000,0.0
