,Py2
1293840000000,0.437
1293843600000,0.519
1293847200000,0.633
1293850800000,0.644
1293854400000,0.613
1293858000000,0.59
1293861600000,0.531
1293865200000,0.498
1293868800000,0.54
1293872400000,0.596
1293876000000,0.684
1293879600000,0.742
1293883200000,0.757
1293886800000,0.769
1293890400000,0.783
1293894000000,0.826
1293897600000,0.849
1293901200000,0.859
1293904800000,0.865
1293908400000,0.862
1293912000000,0.85
1293915600000,0.853
1293919200000,0.881
1293922800000,0.883
1293926400000,0.898
1293930000000,0.926
1293933600000,0.932
1293937200000,0.917
1293940800000,0.882
1293944400000,0.819
1293948000000,0.755
1293951600000,0.69
1293955200000,0.7
1293958800000,0.74
1293962400000,0.763
1293966000000,0.766
1293969600000,0.772
1293973200000,0.785
1293976800000,0.809
1293980400000,0.813
1293984000000,0.806
1293987600000,0.8
1293991200000,0.795
1293994800000,0.785
1293998400000,0.791
1294002000000,0.788
1294005600000,0.779
1294009200000,0.787
1294012800000,0.878
1294016400000,0.906
1294020000000,0.908
1294023600000,0.907
1294027200000,0.897
1294030800000,0.872
1294034400000,0.82
1294038000000,0.734
1294041600000,0.7
1294045200000,0.736
1294048800000,0.772
1294052400000,0.786
1294056000000,0.787
1294059600000,0.777
1294063200000,0.754
1294066800000,0.744
1294070400000,0.739
1294074000000,0.733
1294077600000,0.759
1294081200000,0.78
1294084800000,0.771
1294088400000,0.748
1294092000000,0.725
1294095600000,0.713
1294099200000,0.787
1294102800000,0.864
1294106400000,0.876
1294110000000,0.854
1294113600000,0.819
1294117200000,0.783
1294120800000,0.746
1294124400000,0.713
1294128000000,0.695
1294131600000,0.72
1294135200000,0.722
1294138800000,0.704
1294142400000,0.705
1294146000000,0.724
1294149600000,0.729
1294153200000,0.72
1294156800000,0.72
1294160400000,0.724
1294164000000,0.737
1294167600000,0.753
1294171200000,0.738
1294174800000,0.711
1294178400000,0.701
1294182000000,0.694
1294185600000,0.724
1294189200000,0.78
1294192800000,0.775
1294196400000,0.777
1294200000000,0.754
1294203600000,0.709
1294207200000,0.647
1294210800000,0.564
1294214400000,0.51
1294218000000,0.535
1294221600000,0.547
1294225200000,0.556
1294228800000,0.574
1294232400000,0.599
1294236000000,0.575
1294239600000,0.494
1294243200000,0.396
1294246800000,0.379
1294250400000,0.422
1294254000000,0.438
1294257600000,0.415
1294261200000,0.363
1294264800000,0.326
1294268400000,0.231
1294272000000,0.2
1294275600000,0.189
1294279200000,0.214
1294282800000,0.282
1294286400000,0.247
1294290000000,0.192
1294293600000,0.166
1294297200000,0.143
1294300800000,0.144
1294304400000,0.223
1294308000000,0.325
1294311600000,0.391
1294315200000,0.388
1294318800000,0.407
1294322400000,0.391
1294326000000,0.37
1294329600000,0.3
1294333200000,0.31
1294336800000,0.371
1294340400000,0.376
1294344000000,0.354
1294347600000,0.334
1294351200000,0.3
1294354800000,0.228
1294358400000,0.208
1294362000000,0.229
1294365600000,0.241
1294369200000,0.354
1294372800000,0.494
1294376400000,0.533
1294380000000,0.471
1294383600000,0.458
1294387200000,0.442
1294390800000,0.511
1294394400000,0.62
1294398000000,0.632
1294401600000,0.613
1294405200000,0.58
1294408800000,0.561
1294412400000,0.566
1294416000000,0.587
1294419600000,0.685
1294423200000,0.719
1294426800000,0.746
1294430400000,0.763
1294434000000,0.772
1294437600000,0.753
1294441200000,0.722
1294444800000,0.714
1294448400000,0.748
1294452000000,0.765
1294455600000,0.763
1294459200000,0.756
1294462800000,0.711
1294466400000,0.616
1294470000000,0.511
1294473600000,0.5
1294477200000,0.513
1294480800000,0.462
1294484400000,0.437
1294488000000,0.442
1294491600000,0.466
1294495200000,0.507
1294498800000,0.522
1294502400000,0.51
1294506000000,0.507
1294509600000,0.506
1294513200000,0.495
1294516800000,0.484
1294520400000,0.479
1294524000000,0.479
1294527600000,0.444
1294531200000,0.522
1294534800000,0.586
1294538400000,0.583
1294542000000,0.532
1294545600000,0.462
1294549200000,0.409
1294552800000,0.365
1294556400000,0.289
1294560000000,0.202
1294563600000,0.206
1294567200000,0.231
1294570800000,0.252
1294574400000,0.277
1294578000000,0.283
1294581600000,0.309
1294585200000,0.334
1294588800000,0.375
1294592400000,0.386
1294596000000,0.397
1294599600000,0.409
1294603200000,0.425
1294606800000,0.416
1294610400000,0.391
1294614000000,0.334
1294617600000,0.446
1294621200000,0.555
1294624800000,0.618
1294628400000,0.674
1294632000000,0.689
1294635600000,0.636
1294639200000,0.544
1294642800000,0.444
1294646400000,0.391
1294650000000,0.445
1294653600000,0.547
1294657200000,0.643
1294660800000,0.666
1294664400000,0.657
1294668000000,0.642
1294671600000,0.625
1294675200000,0.605
1294678800000,0.592
1294682400000,0.583
1294686000000,0.594
1294689600000,0.643
1294693200000,0.653
1294696800000,0.61
1294700400000,0.542
1294704000000,0.476
1294707600000,0.528
1294711200000,0.523
1294714800000,0.481
1294718400000,0.427
